Cluster 1,Cluster 2,Cluster ID,Distance
581,588,592,0
590,591,593,0
1,592,594,0
2,593,595,0
408,516,596,0
3,594,597,0
263,351,598,0
4,595,599,0
8,599,600,0
5,596,601,0
9,600,602,0
543,567,603,0
6,597,604,0
11,602,605,0
13,604,606,0
15,605,607,0
17,607,608,0
16,606,609,0
556,580,610,0
535,550,611,0
19,609,612,0
20,610,613,0
539,540,614,0
24,614,615,0
23,613,616,0
22,612,617,0
18,608,618,0
29,618,619,0
476,574,620,0
387,486,621,0
235,401,622,0
273,461,623,0
25,615,624,0
386,624,625,0
27,617,626,0
30,619,627,0
40,627,628,0
41,628,629,0
42,629,630,0
39,626,631,0
212,269,632,0
43,630,633,0
44,631,634,0
46,633,635,0
49,635,636,0
557,583,637,0
47,634,638,0
50,636,639,0
53,639,640,0
521,616,641,0
52,638,642,0
54,640,643,0
56,642,644,0
21,611,645,0
57,643,646,0
60,646,647,0
61,647,648,0
62,648,649,0
58,644,650,0
63,649,651,0
51,637,652,0
31,620,653,0
65,651,654,0
12,603,655,0
68,654,656,0
59,645,657,0
70,656,658,0
69,655,659,0
73,658,660,0
76,660,661,0
75,659,662,0
66,652,663,0
64,650,664,0
77,661,665,0
81,665,666,0
82,666,667,0
83,667,668,0
36,668,669,0
78,662,670,0
87,152,671,0
10,601,672,0
85,669,673,0
89,673,674,0
91,674,675,0
92,675,676,0
93,676,677,0
79,663,678,0
55,641,679,0
94,677,680,0
80,664,681,0
98,681,682,0
99,682,683,0
100,683,684,0
86,670,685,0
97,680,686,0
103,686,687,0
104,687,688,0
105,688,689,0
96,679,690,0
95,678,691,0
106,689,692,0
107,690,693,0
101,684,694,0
7,598,695,0
111,694,696,0
67,653,697,0
109,692,698,0
115,698,699,0
487,500,700,0
116,699,701,0
113,696,702,0
119,702,703,0
108,691,704,0
118,701,705,0
459,541,706,0
122,705,707,0
124,707,708,0
120,703,709,0
102,685,710,0
121,704,711,0
125,708,712,0
389,428,713,0
130,712,714,0
132,714,715,0
114,697,716,0
110,693,717,0
112,695,718,0
127,710,719,0
126,709,720,0
133,715,721,0
117,700,722,0
139,721,723,0
137,719,724,0
138,720,725,0
141,723,726,0
88,672,727,0
144,726,728,0
135,717,729,0
146,728,730,0
143,725,731,0
148,730,732,0
149,731,733,0
355,398,734,0
151,733,735,0
145,727,736,0
150,732,737,0
38,625,738,0
405,450,739,0
155,737,740,0
153,735,741,0
123,706,742,0
154,736,743,0
159,740,744,0
163,744,745,0
164,745,746,0
160,741,747,0
166,747,748,0
165,746,749,0
167,748,750,0
162,743,751,0
169,749,752,0
560,563,753,0
559,753,754,0
485,754,755,0
484,755,756,0
483,756,757,0
482,757,758,0
479,758,759,0
475,759,760,0
426,760,761,0
378,761,762,0
367,762,763,0
327,763,764,0
184,764,765,0
311,765,766,0
278,766,767,0
193,767,768,0
282,430,769,0
172,752,770,0
72,657,771,0
170,750,772,0
188,770,773,0
195,772,774,0
175,738,775,0
196,773,776,0
158,739,777,0
199,776,778,0
187,506,779,0
201,778,780,0
203,780,781,0
204,781,782,0
205,782,783,0
206,783,784,0
207,784,785,0
208,785,786,0
198,775,787,0
209,786,788,0
45,632,789,0
211,788,790,0
213,790,791,0
214,791,792,0
147,729,793,0
142,724,794,0
448,451,795,0
219,221,796,0
215,792,797,0
224,435,798,0
220,797,799,0
197,774,800,0
222,799,801,0
225,801,802,0
171,751,803,0
226,802,804,0
228,804,805,0
229,805,806,0
230,806,807,0
231,807,808,0
232,808,809,0
233,809,810,0
223,800,811,0
216,793,812,0
236,811,813,0
234,810,814,0
217,794,815,0
239,814,816,0
241,816,817,0
242,817,818,0
238,813,819,0
244,819,820,0
243,818,821,0
246,821,822,0
177,713,823,0
210,787,824,0
245,820,825,0
249,824,826,0
247,822,827,0
253,827,828,0
251,825,829,0
254,828,830,0
255,829,831,0
256,830,832,0
258,832,833,0
259,833,834,0
260,834,835,0
261,835,836,0
136,718,837,0
262,836,838,0
264,838,839,0
237,812,840,0
265,839,841,0
267,841,842,0
257,831,843,0
268,842,844,0
240,815,845,0
271,844,846,0
34,846,847,0
266,840,848,0
274,847,849,0
270,843,850,0
202,779,851,0
248,823,852,0
276,849,853,0
277,850,854,0
283,854,855,0
369,589,856,0
280,853,857,0
286,857,858,0
284,855,859,0
287,858,860,0
289,860,861,0
128,711,862,0
140,722,863,0
285,856,864,0
347,572,865,0
288,859,866,0
290,861,867,0
194,771,868,0
295,866,869,0
299,536,870,0
296,867,871,0
252,826,872,0
293,864,873,0
300,871,874,0
275,848,875,0
303,874,876,0
305,876,877,0
302,873,878,0
306,877,879,0
308,879,880,0
134,716,881,0
309,880,882,0
298,869,883,0
186,882,884,0
297,868,885,0
291,862,886,0
312,883,887,0
307,878,888,0
317,887,889,0
314,884,890,0
319,889,891,0
321,891,892,0
422,457,893,0
272,845,894,0
218,795,895,0
325,894,896,0
455,896,897,0
182,897,898,0
373,898,899,0
316,886,900,0
552,900,901,0
526,901,902,0
509,902,903,0
481,903,904,0
473,904,905,0
470,905,906,0
338,906,907,0
192,907,908,0
447,908,909,0
438,909,910,0
431,910,911,0
423,911,912,0
397,912,913,0
374,913,914,0
372,914,915,0
350,915,916,0
349,916,917,0
322,892,918,0
576,918,919,0
352,919,920,0
310,881,921,0
294,865,922,0
320,890,923,0
353,920,924,0
357,923,925,0
301,872,926,0
354,921,927,0
161,742,928,0
360,925,929,0
364,929,930,0
365,930,931,0
366,931,932,0
183,932,933,0
337,888,934,0
368,933,935,0
370,935,936,0
332,875,937,0
371,936,938,0
346,938,939,0
358,924,940,0
375,939,941,0
329,941,942,0
379,942,943,0
330,937,944,0
380,943,945,0
376,940,946,0
381,944,947,0
361,926,948,0
385,948,949,0
383,946,950,0
382,945,951,0
333,852,952,0
388,951,953,0
390,953,954,0
392,954,955,0
393,955,956,0
394,956,957,0
348,957,958,0
156,949,959,0
362,927,960,0
190,950,961,0
396,958,962,0
200,777,963,0
35,962,964,0
406,960,965,0
404,964,966,0
227,803,967,0
407,966,968,0
400,961,969,0
409,968,970,0
411,970,971,0
410,969,972,0
412,971,973,0
414,973,974,0
413,972,975,0
415,974,976,0
418,462,977,0
315,885,978,0
416,975,979,0
384,947,980,0
324,893,981,0
417,976,982,0
344,982,983,0
419,978,984,0
420,979,985,0
181,985,986,0
424,983,987,0
191,987,988,0
429,986,989,0
343,988,990,0
432,989,991,0
434,990,992,0
436,991,993,0
342,992,994,0
443,994,995,0
421,980,996,0
446,984,997,0
439,993,998,0
341,998,999,0
573,999,1000,0
442,995,1001,0
331,1001,1002,0
445,996,1003,0
449,1000,1004,0
340,1002,1005,0
328,1005,1006,0
453,1003,1007,0
304,1007,1008,0
520,1008,1009,0
515,1009,1010,0
335,1010,1011,0
503,1011,1012,0
489,1012,1013,0
178,1013,1014,0
336,1014,1015,0
480,1015,1016,0
180,1016,1017,0
468,1017,1018,0
456,1006,1019,0
454,1004,1020,0
471,1020,1021,0
318,934,1022,0
339,1019,1023,0
474,1023,1024,0
472,1021,1025,0
477,1025,1026,0
478,1026,1027,0
467,1024,1028,0
466,1028,1029,0
179,1027,1030,0
465,1029,1031,0
345,959,1032,0
464,1030,1033,0
488,1033,1034,0
463,1034,1035,0
490,1035,1036,0
491,1036,1037,0
492,1037,1038,0
494,1038,1039,0
495,1039,1040,0
496,1040,1041,0
497,1041,1042,0
176,1031,1043,0
498,1042,1044,0
363,928,1045,0
499,1043,1046,0
504,1046,1047,0
502,1044,1048,0
510,1048,1049,0
508,1047,1050,0
511,1049,1051,0
513,1051,1052,0
514,1052,1053,0
512,1050,1054,0
517,1054,1055,0
460,1053,1056,0
518,1055,1057,0
505,1057,1058,0
519,1056,1059,0
458,1058,1060,0
189,1059,1061,0
524,1061,1062,0
571,1062,1063,0
530,1063,1064,0
531,1064,1065,0
570,1065,1066,0
527,1066,1067,0
566,1067,1068,0
174,1068,1069,0
558,1069,1070,0
334,1070,1071,0
538,1071,1072,0
549,1072,1073,0
544,1073,1074,0
542,1074,1075,0
523,1060,1076,0
547,1076,1077,0
548,1077,1078,0
501,1078,1079,0
551,1079,1080,0
553,1080,1081,0
554,1081,1082,0
555,1082,1083,0
469,1083,1084,0
537,1084,1085,0
545,1085,1086,0
441,1086,1087,0
562,1087,1088,0
546,1088,1089,0
564,1089,1090,0
565,1090,1091,0
528,1091,1092,0
534,1092,1093,0
533,1093,1094,0
569,1094,1095,0
578,1095,1096,0
579,1096,1097,0
575,1097,1098,0
185,1098,1099,0
582,1099,1100,0
577,1100,1101,0
584,1101,1102,0
585,1102,1103,0
586,1103,1104,0
587,1104,1105,0
90,507,1106,0.4055257086
359,437,1107,0.7071067812
313,1107,1108,0.7071067812
622,623,1109,0.87221387
48,323,1110,0.9614165522
71,568,1111,1.017284758
402,963,1112,1.057921215
522,768,1113,1.080765967
529,1108,1114,1.2208643
391,433,1115,1.224980346
26,1018,1116,1.262779327
131,952,1117,1.384944996
427,977,1118,1.420594009
32,621,1119,1.467237471
425,997,1120,1.563870244
769,1113,1121,1.567343696
279,1117,1122,1.573292134
532,1114,1123,1.593848306
14,399,1124,1.593889168
895,899,1125,1.643917479
452,1111,1126,1.673390483
157,281,1127,1.683499283
129,440,1128,1.702275663
356,922,1129,1.75312313
28,1115,1130,1.777859203
796,798,1131,1.797312466
168,1106,1132,1.807047171
981,1118,1133,1.88118243
851,1131,1134,1.946732743
84,1109,1135,1.959949782
74,403,1136,2.082612198
173,1126,1137,2.231431761
33,1135,1138,2.245808268
292,863,1139,2.245926995
561,1120,1140,2.35445385
395,917,1141,2.379691716
1045,1132,1142,2.393809074
837,1075,1143,2.429114466
377,1123,1144,2.540424888
671,734,1145,2.626739894
789,1130,1146,2.642967409
525,965,1147,2.66022911
250,444,1148,2.685457686
493,967,1149,2.757351379
1112,1133,1150,2.75920447
1110,1124,1151,2.796475012
1127,1139,1152,2.982818841
1125,1142,1153,3.007643248
1121,1137,1154,3.059047783
1128,1138,1155,3.115542656
1119,1134,1156,3.344805117
1122,1149,1157,3.363588819
326,1141,1158,3.50769167
1136,1144,1159,3.510033323
870,1152,1160,3.572379834
1116,1150,1161,3.647482967
1146,1155,1162,3.684072245
37,1032,1163,3.692799324
1022,1145,1164,3.776786132
1147,1164,1165,4.286232513
1153,1161,1166,4.451281053
1140,1160,1167,4.773119794
1154,1156,1168,4.856396705
1148,1151,1169,4.885040946
1143,1158,1170,4.996411133
1129,1159,1171,5.321387558
1162,1168,1172,5.518676258
1157,1171,1173,5.67804805
1163,1165,1174,6.38306955
1167,1170,1175,7.021360718
1169,1172,1176,7.078079372
1166,1175,1177,8.392397158
1174,1177,1178,9.647028843
1173,1176,1179,11.72528604
1105,1178,1180,12.02141518
1179,1180,1181,17.53085472